mjd,datetime_str,RA,DEC,V,RA_rate,DEC_rate
58456.5,2018-Dec-04 12:00,289.01383,-8.90215,19.62,110.9648,18.28419
58457.5,2018-Dec-05 12:00,289.76048,-8.78113,19.619,111.0625,18.66966
58458.5,2018-Dec-06 12:00,290.5075,-8.65752,19.618,111.1563,19.05415
58459.5,2018-Dec-07 12:00,291.25488,-8.53133,19.617,111.2459,19.43744
58460.5,2018-Dec-08 12:00,292.00259,-8.40257,19.616,111.3312,19.8193
58461.5,2018-Dec-09 12:00,292.75058,-8.27124,19.616,111.4123,20.19953
58462.5,2018-Dec-10 12:00,293.49884,-8.13737,19.615,111.4891,20.57791
58463.5,2018-Dec-11 12:00,294.24733,-8.00095,19.614,111.5617,20.95422
58464.5,2018-Dec-12 12:00,294.99603,-7.86202,19.613,111.6301,21.32826
58465.5,2018-Dec-13 12:00,295.74491,-7.72057,19.612,111.6944,21.69984
58466.5,2018-Dec-14 12:00,296.49393,-7.57663,19.611,111.7547,22.06877
58467.5,2018-Dec-15 12:00,297.24308,-7.43021,19.61,111.8112,22.43486
58468.5,2018-Dec-16 12:00,297.99232,-7.28134,19.609,111.8639,22.79793
58469.5,2018-Dec-17 12:00,298.74164,-7.13003,19.608,111.913,23.15781
58470.5,2018-Dec-18 12:00,299.49101,-6.97631,19.607,111.9588,23.51433
58471.5,2018-Dec-19 12:00,300.24041,-6.8202,19.606,112.0014,23.86735
58472.5,2018-Dec-20 12:00,300.98983,-6.66172,19.605,112.0412,24.21672
58473.5,2018-Dec-21 12:00,301.73924,-6.5009,19.604,112.0785,24.56238
58474.5,2018-Dec-22 12:00,302.48864,-6.33776,19.603,112.1138,24.90426
58475.5,2018-Dec-23 12:00,303.23801,-6.17232,19.602,112.1475,25.24236
58476.5,2018-Dec-24 12:00,303.98735,-6.00462,19.601,112.1799,25.57669
58477.5,2018-Dec-25 12:00,304.73666,-5.83467,19.6,112.2109,25.90727
58478.5,2018-Dec-26 12:00,305.48592,-5.6625,19.599,112.2407,26.23411
58479.5,2018-Dec-27 12:00,306.23514,-5.48813,19.598,112.2691,26.55717
58480.5,2018-Dec-28 12:00,306.9843,-5.3116,19.597,112.2958,26.8764
58481.5,2018-Dec-29 12:00,307.7334,-5.13292,19.596,112.3204,27.19169
58482.5,2018-Dec-30 12:00,308.48243,-4.95213,19.595,112.3427,27.50292
58483.5,2018-Dec-31 12:00,309.23138,-4.76924,19.594,112.3624,27.80993
58484.5,2019-Jan-01 12:00,309.98023,-4.58429,19.593,112.3792,28.11255
58485.5,2019-Jan-02 12:00,310.72897,-4.39731,19.592,112.393,28.41061
58486.5,2019-Jan-03 12:00,311.47758,-4.20833,19.591,112.4036,28.70392
58487.5,2019-Jan-04 12:00,312.22606,-4.01737,19.59,112.4108,28.9923
58488.5,2019-Jan-05 12:00,312.97438,-3.82448,19.589,112.4147,29.27557
58489.5,2019-Jan-06 12:00,313.72252,-3.62969,19.588,112.4151,29.55353
58490.5,2019-Jan-07 12:00,314.47048,-3.43303,19.586,112.4121,29.82602
58491.5,2019-Jan-08 12:00,315.21823,-3.23455,19.585,112.4058,30.09286
58492.5,2019-Jan-09 12:00,315.96577,-3.03427,19.584,112.3961,30.3539
58493.5,2019-Jan-10 12:00,316.71307,-2.83224,19.583,112.3831,30.60898
58494.5,2019-Jan-11 12:00,317.46012,-2.62849,19.582,112.3671,30.85797
58495.5,2019-Jan-12 12:00,318.20692,-2.42308,19.581,112.348,31.10073
58496.5,2019-Jan-13 12:00,318.95345,-2.21603,19.58,112.3261,31.33714
58497.5,2019-Jan-14 12:00,319.69969,-2.0074,19.578,112.3014,31.56709
58498.5,2019-Jan-15 12:00,320.44566,-1.79723,19.577,112.2742,31.79047
58499.5,2019-Jan-16 12:00,321.19132,-1.58555,19.576,112.2447,32.00719
58500.5,2019-Jan-17 12:00,321.93669,-1.37242,19.575,112.2132,32.2172
58501.5,2019-Jan-18 12:00,322.68176,-1.15788,19.573,112.1801,32.42046
58502.5,2019-Jan-19 12:00,323.42653,-0.94197,19.572,112.1458,32.61702
58503.5,2019-Jan-20 12:00,324.171,-0.72474,19.571,112.1107,32.80694
58504.5,2019-Jan-21 12:00,324.91518,-0.50623,19.57,112.0753,32.99034
58505.5,2019-Jan-22 12:00,325.65908,-0.28649,19.568,112.0398,33.16734
58506.5,2019-Jan-23 12:00,326.40271,-0.06556,19.567,112.0044,33.33806
58507.5,2019-Jan-24 12:00,327.14608,0.15653,19.566,111.9689,33.50254
